Data file name,Temperature_data.csv,
Contact name,Mandy Velthuis,
Contact email,m.velthuis@nioo.knaw.nl,
,,
Citation,"Velthuis, M., L. N. de Senerpont Domis, T. Frenken, S. Stephan, G. Kazanjian, R. Aben, S. Hilt, S. Kosten, E. van Donk, and D. B. Van de Waal. 2017. Warming advances top-down control and reduces producer biomass in a freshwater plankton community. Ecosphere 8:e01651",
,,
Variables,Unit,Description
date,dd-mm-yyyy,Date on which the samples were taken from the mesocosms
limnotron,-,Unique identifier of a mesocosm
treatment,-,Coded variable (warm/cold) describing the temperature treatment level of the mesocosm.
Temperature,°C,"Water temperature during the experiment, calculated as daily averages from the minute-logged temperatures"
,,
,,
,,
,,
,,
,,
