limnotron,treatment,date,epipelon
1,warm,17-3-2014,0
1,warm,7-4-2014,0.26553827
1,warm,22-4-2014,0.193805631
1,warm,6-5-2014,0.199064793
1,warm,19-5-2014,0.450013651
1,warm,2-6-2014,0.402406698
1,warm,16-6-2014,0.355508557
1,warm,24-6-2014,0.365641163
1,warm,4-8-2014,0.148285043
1,warm,11-8-2014,0.191800744
2,control,17-3-2014,0
2,control,7-4-2014,0.085264907
2,control,22-4-2014,0.501900107
2,control,6-5-2014,0.231445127
2,control,19-5-2014,1.045481499
2,control,2-6-2014,0.406918732
2,control,16-6-2014,0.345568678
2,control,24-6-2014,0.310278162
2,control,4-8-2014,0.152376061
2,control,11-8-2014,0.053198191
3,control,17-3-2014,0
3,control,7-4-2014,0.256350909
3,control,22-4-2014,0.311879325
3,control,6-5-2014,0.079336789
3,control,19-5-2014,0.490376409
3,control,2-6-2014,0.340275366
3,control,16-6-2014,0.574277428
3,control,24-6-2014,0.481840745
3,control,4-8-2014,0.293754798
3,control,11-8-2014,0.180728667
5,warm,17-3-2014,0
5,warm,7-4-2014,0.226749597
5,warm,22-4-2014,0.196872175
5,warm,6-5-2014,0.159881601
5,warm,19-5-2014,0.49692275
5,warm,2-6-2014,0.697380436
5,warm,16-6-2014,0.144693546
5,warm,24-6-2014,0.288163948
5,warm,4-8-2014,0.189225846
5,warm,11-8-2014,0.040730286
6,warm,17-3-2014,0
6,warm,7-4-2014,0.233338565
6,warm,22-4-2014,0.436042558
6,warm,6-5-2014,0.264297738
6,warm,19-5-2014,0.242608982
6,warm,2-6-2014,0.403808638
6,warm,16-6-2014,0.254403
6,warm,24-6-2014,0.297183427
6,warm,4-8-2014,0.038410122
6,warm,11-8-2014,0.128022894
6,warm,17-3-2014,0
7,control,7-4-2014,0.167580556
7,control,22-4-2014,0.352013332
7,control,6-5-2014,0.118894779
7,control,19-5-2014,0.405298492
7,control,2-6-2014,0.371718239
7,control,16-6-2014,1.93038088
7,control,24-6-2014,0.45433392
7,control,4-8-2014,0.348431192
7,control,11-8-2014,0.193083459
8,warm,17-3-2014,0
8,warm,7-4-2014,0.688947951
8,warm,22-4-2014,0.450628226
8,warm,6-5-2014,0.127412862
8,warm,19-5-2014,0.212194222
8,warm,2-6-2014,0.263037198
8,warm,16-6-2014,1.789162154
8,warm,24-6-2014,0.293504189
8,warm,4-8-2014,0.04736406
8,warm,11-8-2014,0.193865809
9,control,17-3-2014,0
9,control,7-4-2014,0.524487757
9,control,22-4-2014,0.40328639
9,control,6-5-2014,0.277554598
9,control,19-5-2014,0.3308306
9,control,2-6-2014,0.38830106
9,control,16-6-2014,0.255779961
9,control,24-6-2014,0.559412407
9,control,4-8-2014,0.104055122
9,control,11-8-2014,0.044316757
