date,hours
6-3-2014,"10,667"
7-3-2014,"11,15"
8-3-2014,"11,15"
9-3-2014,"11,15"
10-3-2014,"11,15"
11-3-2014,"11,15"
12-3-2014,"11,15"
13-3-2014,"11,15"
14-3-2014,"11,61666667"
15-3-2014,"11,61666667"
19-3-2014,"11,61666667"
20-3-2014,"11,61666667"
21-3-2014,12
22-3-2014,12
23-3-2014,12
24-3-2014,12
25-3-2014,12
26-3-2014,12
27-3-2014,12
28-3-2014,"12,56666667"
29-3-2014,"12,56666667"
30-3-2014,"12,56666667"
31-3-2014,"12,56666667"
1-4-2014,"12,56666667"
2-4-2014,"12,56666667"
3-4-2014,"12,56666667"
4-4-2014,13
5-4-2014,13
6-4-2014,13
7-4-2014,13
8-4-2014,13
9-4-2014,13
11-4-2014,"13,5"
12-4-2014,"13,5"
13-4-2014,"13,5"
14-4-2014,"13,5"
15-4-2014,"13,5"
16-4-2014,"13,5"
17-4-2014,"13,5"
18-4-2014,14
19-4-2014,14
20-4-2014,14
21-4-2014,14
22-4-2014,14
23-4-2014,14
24-4-2014,14
25-4-2014,"14,5"
26-4-2014,"14,5"
27-4-2014,"14,5"
28-4-2014,"14,5"
29-4-2014,"14,5"
30-4-2014,"14,5"
1-5-2014,"14,5"
2-5-2014,"14,86666667"
3-5-2014,"14,86666667"
4-5-2014,"14,86666667"
5-5-2014,"14,86666667"
6-5-2014,"14,86666667"
7-5-2014,"14,86666667"
8-5-2014,"14,86666667"
9-5-2014,"15,28333333"
10-5-2014,"15,28333333"
11-5-2014,"15,28333333"
12-5-2014,"15,28333333"
13-5-2014,"15,28333333"
14-5-2014,"15,28333333"
15-5-2014,"15,28333333"
16-5-2014,"15,66666667"
17-5-2014,"15,66666667"
18-5-2014,"15,66666667"
19-5-2014,"15,66666667"
20-5-2014,"15,66666667"
21-5-2014,"15,66666667"
22-5-2014,"15,66666667"
23-5-2014,16
24-5-2014,16
25-5-2014,16
26-5-2014,16
27-5-2014,16
28-5-2014,16
29-5-2014,16
30-5-2014,"16,25"
31-5-2014,"16,25"
1-6-2014,"16,25"
2-6-2014,"16,25"
3-6-2014,"16,25"
4-6-2014,"16,25"
5-6-2014,"16,25"
6-6-2014,"16,5"
7-6-2014,"16,5"
8-6-2014,"16,5"
9-6-2014,"16,5"
10-6-2014,"16,5"
11-6-2014,"16,5"
12-6-2014,"16,5"
13-6-2014,"16,75"
14-6-2014,"16,75"
15-6-2014,"16,75"
16-6-2014,"16,75"
17-6-2014,"16,75"
18-6-2014,"16,75"
19-6-2014,"16,75"
20-6-2014,"16,75"
21-6-2014,"16,75"
22-6-2014,"16,75"
23-6-2014,"16,75"
24-6-2014,"16,75"
25-6-2014,"16,75"
26-6-2014,"16,75"
27-6-2014,"16,75"
28-6-2014,"16,75"
29-6-2014,"16,75"
30-6-2014,"16,75"
1-7-2014,"16,75"
2-7-2014,"16,75"
3-7-2014,"16,75"
4-7-2014,"16,75"
5-7-2014,"16,75"
6-7-2014,"16,75"
7-7-2014,"16,75"
8-7-2014,"16,75"
9-7-2014,"16,75"
10-7-2014,"16,75"
11-7-2014,"16,5"
12-7-2014,"16,5"
13-7-2014,"16,5"
14-7-2014,"16,5"
15-7-2014,"16,5"
16-7-2014,"16,5"
17-7-2014,"16,5"
18-7-2014,"16,25"
19-7-2014,"16,25"
20-7-2014,"16,25"
21-7-2014,"16,25"
22-7-2014,"16,25"
23-7-2014,"16,25"
24-7-2014,"16,25"
25-7-2014,16
26-7-2014,16
27-7-2014,16
28-7-2014,16
29-7-2014,16
30-7-2014,16
31-7-2014,16
1-8-2014,"15,5"
2-8-2014,"15,5"
3-8-2014,"15,5"
4-8-2014,"15,5"
5-8-2014,"15,5"
6-8-2014,"15,5"
7-8-2014,"15,5"
8-8-2014,"15,25"
9-8-2014,"15,25"
10-8-2014,"15,25"
11-8-2014,"15,25"
12-8-2014,"15,25"
13-8-2014,"15,25"
14-8-2014,"14,45"
15-8-2014,"14,45"
