date,1,2,3,5,6,7,8,9
4,0.4375,2.0625,0.4375,1.25,0.1875,0.125,0.125,0
11,0.8125,0.25,0.75,0.8125,0.125,0,0.1875,0.25
18,0.4375,0.25,0.375,1,0.1875,0.25,0.1875,0.1875
25,1.0625,0.25,0.0625,1.25,0.5,0.25,0.3125,0
32,0.8125,0.1875,0,1.25,0,0.3125,2.125,0.25
39,0.4375,0.25,0.375,0,0,0.3125,1.5625,0.4375
47,0.625,0.3125,0,0,0,0,3.125,0.625
53,1.5,0.5,1.0625,20.3125,0,0,6.25,2.125
60,6.25,0.375,0,73.4375,1.5625,1.5625,12.5,1.0625
67,7.4375,1.0625,1.0625,164.0625,12.5,4.6875,45.3125,6.25
74,69.0625,2.125,1.0625,150.875,60.9375,4.6875,265.625,6.25
82,320.3125,7.4375,1.5625,656.25,167.1875,12.5,657.8125,15.625
89,1156.25,69.41666667,10.625,753.59375,981.25,53.125,1178.125,15.9375
95,1255.769231,89.0625,23.375,1518.75,709.375,123.4375,3712.5,45.3125
102,2362.5,204.6875,45.6875,1759.375,2003.125,105.1875,923.4375,231.25
110,2956.25,871.875,81.25,1121.875,2715.625,2275,790.625,300
116,5303.125,843.75,356.25,702.25,1840.625,934.375,856.25,520.3125
123,2078.125,876.5625,420.3125,243.75,1295.3125,4106.25,1115.625,693.75
130,229.5,1906.25,1371.875,167.1875,1456.25,2018.75,108.75,431.25
137,45.6875,1537.5,503.125,90.625,600,1450,42.5,311.3125
143,53.125,1526.5625,124.375,90.625,1140.625,782.8125,42.5,215.625
150,19.125,1118.75,302.8125,47.8125,392.1875,198.6875,8.0625,350
151,2.5,304.6875,191.25,54.6875,437.5,172.125,10,72.25
153,1.875,418.625,121.25,23.4375,147.6875,64.8125,1.875,261.375
155,3.125,284.375,106.0625,6.875,191.25,143.4375,1.3125,226.3125
158,1.3125,267.75,94.5625,22.5,187.5,72.25,1.6875,468.5625
165,0.4375,170,104.6875,17.1875,275,79.6875,10.0625,159.375
