date,1,2,3,5,6,7,8,9
4,0.1875,0.0625,0.125,0.0625,0.25,0,0.0625,0
11,0.125,0.1875,0.1875,0.25,0.125,0,0.125,0.25
18,0.0625,0.3125,0.375,0.6875,0.5,0.6875,0.9375,0.8125
25,3.5,0.4375,1.1875,3.75,0.875,1.1875,4.375,0
32,7.4375,1.25,0.8125,6.875,3.125,0.375,34,1.875
39,8.3125,0.9375,1.875,9.5625,9.5625,2.5,37.5,3.5625
47,18.125,0.9375,1.9375,42.1875,31.25,3.125,73.4375,2.5
53,56,1.6875,3.1875,34.375,6.25,3.1875,100,13.8125
60,139.0625,4.5625,10.625,82.8125,20.3125,10.625,159.375,28.6875
67,236.9375,35.0625,60.5625,196.875,78.125,48.4375,209.375,75
74,272,42.5,85,184.875,162.5,65.625,164.0625,103.125
82,301.5625,72,107.8125,146.875,250,153.125,123.4375,106.25
89,280.7692308,75.08333333,86.0625,82.8125,296.875,226.5625,118.75,171.0625
95,210.9375,112.5,202.9375,22.625,256.25,270.3125,118.75,232.8125
102,387.5,157.8125,291.125,46.875,406.25,367.625,62.5,165.625
110,165.625,125,239.0625,96.875,206.25,415.625,35.9375,25
116,150,59.375,120.3125,185.9375,153.125,340.625,115.625,39.0625
123,17.1875,54.6875,98.4375,115.625,176.5625,293.75,109.375,23.4375
130,26.5625,45.3125,112.5,40.625,103.125,121.875,115,6.25
137,38.25,87.5,17.1875,28.125,193.75,109.375,78.625,65.875
143,26.875,115.625,126.25,28.125,151.5625,173.4375,77.5625,100
150,9.5625,253.125,348.5,12.75,18.75,182.75,17,57.8125
151,6.25,226.5625,202.9375,15.625,21.875,151.9375,19.375,83.9375
153,16.25,232.6875,375.625,7.8125,26.5625,155.125,11,61.625
155,14.375,303.125,371.875,10.625,27.625,153,10.875,109.4375
158,1.875,292.1875,180.625,6.25,14.0625,106.25,7.8125,170
